datetime;Spain_DHW_kWh;Italy_DHW_kWh;Austria_DHW_kWh;Germany_DHW_kWh;Sweden_DHW_kWh;Spain_heating_kWh;Spain_cooling_kWh;Italy_heating_kWh;Italy_cooling_kWh;Austria_heating_kWh;Austria_cooling_kWh;Germany_heating_kWh;Germany_cooling_kWh;Sweden_heating_kWh;Sweden_cooling_kWh
09/01/2022 00:00;0;0;0;0;0;1684776.573;0;1312820.419;0;641528.7443;0;1820246.496;0;2648043.582;0
09/01/2022 01:00;0;0;0;0;0;1709813.692;0;1332329.973;0;651062.3711;0;1847296.805;0;2687395.613;0
09/01/2022 02:00;0;0;0;0;0;1710848.236;0;1333136.117;0;651456.3047;0;1848414.536;0;2689021.657;0
09/01/2022 03:00;0;0;0;0;0;1723360.325;0;1342885.852;0;656220.6544;0;1861932.7;0;2708687.503;0
09/01/2022 04:00;0;0;0;0;0;1736234.055;0;1352917.387;0;661122.7096;0;1875841.584;0;2728921.757;0
09/01/2022 05:00;0;0;0;0;0;1776818.422;0;1384541.75;0;676576.4132;0;1919689.268;0;2792710.139;0
09/01/2022 06:00;0;0;0;0;0;1846891.571;0;1439144.516;0;703258.847;0;1995396.876;0;2902847.445;0
09/01/2022 07:00;4140295.158;3771867.938;2685318.498;11539036.85;3050315.809;1887506.206;0;1470792.465;0;718724.0763;0;2039277.263;0;2966683.402;0
09/01/2022 08:00;1080076.998;983965.5491;700517.869;3010183.526;795734.5589;1912240.957;0;1490066.406;0;728142.5674;0;2066000.891;0;3005560.187;0
09/01/2022 09:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1901806.126;0;1481935.322;0;724169.1954;0;2054727.013;0;2989159.266;0
09/01/2022 10:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1831792.591;0;1427379.009;0;697509.4615;0;1979083.813;0;2879115.659;0
09/01/2022 11:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1721806.509;0;1341675.079;0;655628.9925;0;1860253.944;0;2706245.295;0
09/01/2022 12:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1607655.159;0;1252725.467;0;612162.4743;0;1736923.885;0;2526828.183;0
09/01/2022 13:00;0;0;0;0;0;1505316.704;0;1172980.76;0;573194.0662;0;1626356.574;0;2365977.958;0
09/01/2022 14:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1431291.564;0;1115298.503;0;545006.7946;0;1546379.203;0;2249629.12;0
09/01/2022 15:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1412014.209;0;1100277.101;0;537666.3686;0;1525551.789;0;2219329.982;0
09/01/2022 16:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1457177.196;0;1135469.241;0;554863.5183;0;1574346.254;0;2290314.801;0
09/01/2022 17:00;0;0;0;0;0;1543897.524;0;1203043.909;0;587884.86;0;1668039.61;0;2426617.271;0
09/01/2022 18:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1590366.484;0;1239253.695;0;605579.2975;0;1718245.058;0;2499654.749;0
09/01/2022 19:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1584088.699;0;1234361.886;0;603188.844;0;1711462.487;0;2489787.654;0
09/01/2022 20:00;1890134.746;1721939.711;1225906.271;5267821.17;1392535.478;1606016.677;0;1251448.721;0;611538.5735;0;1735153.656;0;2524252.903;0
09/01/2022 21:00;3870275.908;3525876.551;2510189.031;10786490.97;2851382.169;1604318.078;0;1250125.129;0;610891.7812;0;1733318.474;0;2521583.132;0
09/01/2022 22:00;0;0;0;0;0;1607616.209;0;1252695.116;0;612147.6428;0;1736881.803;0;2526766.963;0
09/01/2022 23:00;0;0;0;0;0;1631663.621;0;1271433.466;0;621304.4094;0;1762862.825;0;2564563.425;0
10/01/2022 00:00;0;0;0;0;0;1684776.573;0;1312820.419;0;641528.7443;0;1820246.496;0;2648043.582;0
10/01/2022 01:00;0;0;0;0;0;1709813.692;0;1332329.973;0;651062.3711;0;1847296.805;0;2687395.613;0
10/01/2022 02:00;0;0;0;0;0;1710848.236;0;1333136.117;0;651456.3047;0;1848414.536;0;2689021.657;0
10/01/2022 03:00;0;0;0;0;0;1723360.325;0;1342885.852;0;656220.6544;0;1861932.7;0;2708687.503;0
10/01/2022 04:00;0;0;0;0;0;1736234.055;0;1352917.387;0;661122.7096;0;1875841.584;0;2728921.757;0
10/01/2022 05:00;0;0;0;0;0;1776818.422;0;1384541.75;0;676576.4132;0;1919689.268;0;2792710.139;0
10/01/2022 06:00;0;0;0;0;0;1846891.571;0;1439144.516;0;703258.847;0;1995396.876;0;2902847.445;0
10/01/2022 07:00;4140295.158;3771867.938;2685318.498;11539036.85;3050315.809;1887506.206;0;1470792.465;0;718724.0763;0;2039277.263;0;2966683.402;0
10/01/2022 08:00;1080076.998;983965.5491;700517.869;3010183.526;795734.5589;1912240.957;0;1490066.406;0;728142.5674;0;2066000.891;0;3005560.187;0
10/01/2022 09:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1901806.126;0;1481935.322;0;724169.1954;0;2054727.013;0;2989159.266;0
10/01/2022 10:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1831792.591;0;1427379.009;0;697509.4615;0;1979083.813;0;2879115.659;0
10/01/2022 11:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1721806.509;0;1341675.079;0;655628.9925;0;1860253.944;0;2706245.295;0
10/01/2022 12:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1607655.159;0;1252725.467;0;612162.4743;0;1736923.885;0;2526828.183;0
10/01/2022 13:00;0;0;0;0;0;1505316.704;0;1172980.76;0;573194.0662;0;1626356.574;0;2365977.958;0
10/01/2022 14:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1431291.564;0;1115298.503;0;545006.7946;0;1546379.203;0;2249629.12;0
10/01/2022 15:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1412014.209;0;1100277.101;0;537666.3686;0;1525551.789;0;2219329.982;0
10/01/2022 16:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1457177.196;0;1135469.241;0;554863.5183;0;1574346.254;0;2290314.801;0
10/01/2022 17:00;0;0;0;0;0;1543897.524;0;1203043.909;0;587884.86;0;1668039.61;0;2426617.271;0
10/01/2022 18:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1590366.484;0;1239253.695;0;605579.2975;0;1718245.058;0;2499654.749;0
10/01/2022 19:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1584088.699;0;1234361.886;0;603188.844;0;1711462.487;0;2489787.654;0
10/01/2022 20:00;1890134.746;1721939.711;1225906.271;5267821.17;1392535.478;1606016.677;0;1251448.721;0;611538.5735;0;1735153.656;0;2524252.903;0
10/01/2022 21:00;3870275.908;3525876.551;2510189.031;10786490.97;2851382.169;1604318.078;0;1250125.129;0;610891.7812;0;1733318.474;0;2521583.132;0
10/01/2022 22:00;0;0;0;0;0;1607616.209;0;1252695.116;0;612147.6428;0;1736881.803;0;2526766.963;0
10/01/2022 23:00;0;0;0;0;0;1631663.621;0;1271433.466;0;621304.4094;0;1762862.825;0;2564563.425;0
11/01/2022 00:00;0;0;0;0;0;1684776.573;0;1312820.419;0;641528.7443;0;1820246.496;0;2648043.582;0
11/01/2022 01:00;0;0;0;0;0;1709813.692;0;1332329.973;0;651062.3711;0;1847296.805;0;2687395.613;0
11/01/2022 02:00;0;0;0;0;0;1710848.236;0;1333136.117;0;651456.3047;0;1848414.536;0;2689021.657;0
11/01/2022 03:00;0;0;0;0;0;1723360.325;0;1342885.852;0;656220.6544;0;1861932.7;0;2708687.503;0
11/01/2022 04:00;0;0;0;0;0;1736234.055;0;1352917.387;0;661122.7096;0;1875841.584;0;2728921.757;0
11/01/2022 05:00;0;0;0;0;0;1776818.422;0;1384541.75;0;676576.4132;0;1919689.268;0;2792710.139;0
11/01/2022 06:00;0;0;0;0;0;1846891.571;0;1439144.516;0;703258.847;0;1995396.876;0;2902847.445;0
11/01/2022 07:00;4140295.158;3771867.938;2685318.498;11539036.85;3050315.809;1887506.206;0;1470792.465;0;718724.0763;0;2039277.263;0;2966683.402;0
11/01/2022 08:00;1080076.998;983965.5491;700517.869;3010183.526;795734.5589;1912240.957;0;1490066.406;0;728142.5674;0;2066000.891;0;3005560.187;0
11/01/2022 09:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1901806.126;0;1481935.322;0;724169.1954;0;2054727.013;0;2989159.266;0
11/01/2022 10:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1831792.591;0;1427379.009;0;697509.4615;0;1979083.813;0;2879115.659;0
11/01/2022 11:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1721806.509;0;1341675.079;0;655628.9925;0;1860253.944;0;2706245.295;0
11/01/2022 12:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1607655.159;0;1252725.467;0;612162.4743;0;1736923.885;0;2526828.183;0
11/01/2022 13:00;0;0;0;0;0;1505316.704;0;1172980.76;0;573194.0662;0;1626356.574;0;2365977.958;0
11/01/2022 14:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1431291.564;0;1115298.503;0;545006.7946;0;1546379.203;0;2249629.12;0
11/01/2022 15:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1412014.209;0;1100277.101;0;537666.3686;0;1525551.789;0;2219329.982;0
11/01/2022 16:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1457177.196;0;1135469.241;0;554863.5183;0;1574346.254;0;2290314.801;0
11/01/2022 17:00;0;0;0;0;0;1543897.524;0;1203043.909;0;587884.86;0;1668039.61;0;2426617.271;0
11/01/2022 18:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1590366.484;0;1239253.695;0;605579.2975;0;1718245.058;0;2499654.749;0
11/01/2022 19:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1584088.699;0;1234361.886;0;603188.844;0;1711462.487;0;2489787.654;0
11/01/2022 20:00;1890134.746;1721939.711;1225906.271;5267821.17;1392535.478;1606016.677;0;1251448.721;0;611538.5735;0;1735153.656;0;2524252.903;0
11/01/2022 21:00;3870275.908;3525876.551;2510189.031;10786490.97;2851382.169;1604318.078;0;1250125.129;0;610891.7812;0;1733318.474;0;2521583.132;0
11/01/2022 22:00;0;0;0;0;0;1607616.209;0;1252695.116;0;612147.6428;0;1736881.803;0;2526766.963;0
11/01/2022 23:00;0;0;0;0;0;1631663.621;0;1271433.466;0;621304.4094;0;1762862.825;0;2564563.425;0
12/01/2022 00:00;0;0;0;0;0;1684776.573;0;1312820.419;0;641528.7443;0;1820246.496;0;2648043.582;0
12/01/2022 01:00;0;0;0;0;0;1709813.692;0;1332329.973;0;651062.3711;0;1847296.805;0;2687395.613;0
12/01/2022 02:00;0;0;0;0;0;1710848.236;0;1333136.117;0;651456.3047;0;1848414.536;0;2689021.657;0
12/01/2022 03:00;0;0;0;0;0;1723360.325;0;1342885.852;0;656220.6544;0;1861932.7;0;2708687.503;0
12/01/2022 04:00;0;0;0;0;0;1736234.055;0;1352917.387;0;661122.7096;0;1875841.584;0;2728921.757;0
12/01/2022 05:00;0;0;0;0;0;1776818.422;0;1384541.75;0;676576.4132;0;1919689.268;0;2792710.139;0
12/01/2022 06:00;0;0;0;0;0;1846891.571;0;1439144.516;0;703258.847;0;1995396.876;0;2902847.445;0
12/01/2022 07:00;4140295.158;3771867.938;2685318.498;11539036.85;3050315.809;1887506.206;0;1470792.465;0;718724.0763;0;2039277.263;0;2966683.402;0
12/01/2022 08:00;1080076.998;983965.5491;700517.869;3010183.526;795734.5589;1912240.957;0;1490066.406;0;728142.5674;0;2066000.891;0;3005560.187;0
12/01/2022 09:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1901806.126;0;1481935.322;0;724169.1954;0;2054727.013;0;2989159.266;0
12/01/2022 10:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1831792.591;0;1427379.009;0;697509.4615;0;1979083.813;0;2879115.659;0
12/01/2022 11:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1721806.509;0;1341675.079;0;655628.9925;0;1860253.944;0;2706245.295;0
12/01/2022 12:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1607655.159;0;1252725.467;0;612162.4743;0;1736923.885;0;2526828.183;0
12/01/2022 13:00;0;0;0;0;0;1505316.704;0;1172980.76;0;573194.0662;0;1626356.574;0;2365977.958;0
12/01/2022 14:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1431291.564;0;1115298.503;0;545006.7946;0;1546379.203;0;2249629.12;0
12/01/2022 15:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1412014.209;0;1100277.101;0;537666.3686;0;1525551.789;0;2219329.982;0
12/01/2022 16:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1457177.196;0;1135469.241;0;554863.5183;0;1574346.254;0;2290314.801;0
12/01/2022 17:00;0;0;0;0;0;1543897.524;0;1203043.909;0;587884.86;0;1668039.61;0;2426617.271;0
12/01/2022 18:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1590366.484;0;1239253.695;0;605579.2975;0;1718245.058;0;2499654.749;0
12/01/2022 19:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1584088.699;0;1234361.886;0;603188.844;0;1711462.487;0;2489787.654;0
12/01/2022 20:00;1890134.746;1721939.711;1225906.271;5267821.17;1392535.478;1606016.677;0;1251448.721;0;611538.5735;0;1735153.656;0;2524252.903;0
12/01/2022 21:00;3870275.908;3525876.551;2510189.031;10786490.97;2851382.169;1604318.078;0;1250125.129;0;610891.7812;0;1733318.474;0;2521583.132;0
12/01/2022 22:00;0;0;0;0;0;1607616.209;0;1252695.116;0;612147.6428;0;1736881.803;0;2526766.963;0
12/01/2022 23:00;0;0;0;0;0;1631663.621;0;1271433.466;0;621304.4094;0;1762862.825;0;2564563.425;0
13/01/2022 00:00;0;0;0;0;0;1684776.573;0;1312820.419;0;641528.7443;0;1820246.496;0;2648043.582;0
13/01/2022 01:00;0;0;0;0;0;1709813.692;0;1332329.973;0;651062.3711;0;1847296.805;0;2687395.613;0
13/01/2022 02:00;0;0;0;0;0;1710848.236;0;1333136.117;0;651456.3047;0;1848414.536;0;2689021.657;0
13/01/2022 03:00;0;0;0;0;0;1723360.325;0;1342885.852;0;656220.6544;0;1861932.7;0;2708687.503;0
13/01/2022 04:00;0;0;0;0;0;1736234.055;0;1352917.387;0;661122.7096;0;1875841.584;0;2728921.757;0
13/01/2022 05:00;0;0;0;0;0;1776818.422;0;1384541.75;0;676576.4132;0;1919689.268;0;2792710.139;0
13/01/2022 06:00;0;0;0;0;0;1846891.571;0;1439144.516;0;703258.847;0;1995396.876;0;2902847.445;0
13/01/2022 07:00;4140295.158;3771867.938;2685318.498;11539036.85;3050315.809;1887506.206;0;1470792.465;0;718724.0763;0;2039277.263;0;2966683.402;0
13/01/2022 08:00;1080076.998;983965.5491;700517.869;3010183.526;795734.5589;1912240.957;0;1490066.406;0;728142.5674;0;2066000.891;0;3005560.187;0
13/01/2022 09:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1901806.126;0;1481935.322;0;724169.1954;0;2054727.013;0;2989159.266;0
13/01/2022 10:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1831792.591;0;1427379.009;0;697509.4615;0;1979083.813;0;2879115.659;0
13/01/2022 11:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1721806.509;0;1341675.079;0;655628.9925;0;1860253.944;0;2706245.295;0
13/01/2022 12:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1607655.159;0;1252725.467;0;612162.4743;0;1736923.885;0;2526828.183;0
13/01/2022 13:00;0;0;0;0;0;1505316.704;0;1172980.76;0;573194.0662;0;1626356.574;0;2365977.958;0
13/01/2022 14:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1431291.564;0;1115298.503;0;545006.7946;0;1546379.203;0;2249629.12;0
13/01/2022 15:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1412014.209;0;1100277.101;0;537666.3686;0;1525551.789;0;2219329.982;0
13/01/2022 16:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1457177.196;0;1135469.241;0;554863.5183;0;1574346.254;0;2290314.801;0
13/01/2022 17:00;0;0;0;0;0;1543897.524;0;1203043.909;0;587884.86;0;1668039.61;0;2426617.271;0
13/01/2022 18:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1590366.484;0;1239253.695;0;605579.2975;0;1718245.058;0;2499654.749;0
13/01/2022 19:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1584088.699;0;1234361.886;0;603188.844;0;1711462.487;0;2489787.654;0
13/01/2022 20:00;1890134.746;1721939.711;1225906.271;5267821.17;1392535.478;1606016.677;0;1251448.721;0;611538.5735;0;1735153.656;0;2524252.903;0
13/01/2022 21:00;3870275.908;3525876.551;2510189.031;10786490.97;2851382.169;1604318.078;0;1250125.129;0;610891.7812;0;1733318.474;0;2521583.132;0
13/01/2022 22:00;0;0;0;0;0;1607616.209;0;1252695.116;0;612147.6428;0;1736881.803;0;2526766.963;0
13/01/2022 23:00;0;0;0;0;0;1631663.621;0;1271433.466;0;621304.4094;0;1762862.825;0;2564563.425;0
14/01/2022 00:00;0;0;0;0;0;1684776.573;0;1312820.419;0;641528.7443;0;1820246.496;0;2648043.582;0
14/01/2022 01:00;0;0;0;0;0;1709813.692;0;1332329.973;0;651062.3711;0;1847296.805;0;2687395.613;0
14/01/2022 02:00;0;0;0;0;0;1710848.236;0;1333136.117;0;651456.3047;0;1848414.536;0;2689021.657;0
14/01/2022 03:00;0;0;0;0;0;1723360.325;0;1342885.852;0;656220.6544;0;1861932.7;0;2708687.503;0
14/01/2022 04:00;0;0;0;0;0;1736234.055;0;1352917.387;0;661122.7096;0;1875841.584;0;2728921.757;0
14/01/2022 05:00;0;0;0;0;0;1776818.422;0;1384541.75;0;676576.4132;0;1919689.268;0;2792710.139;0
14/01/2022 06:00;0;0;0;0;0;1846891.571;0;1439144.516;0;703258.847;0;1995396.876;0;2902847.445;0
14/01/2022 07:00;4140295.158;3771867.938;2685318.498;11539036.85;3050315.809;1887506.206;0;1470792.465;0;718724.0763;0;2039277.263;0;2966683.402;0
14/01/2022 08:00;1080076.998;983965.5491;700517.869;3010183.526;795734.5589;1912240.957;0;1490066.406;0;728142.5674;0;2066000.891;0;3005560.187;0
14/01/2022 09:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1901806.126;0;1481935.322;0;724169.1954;0;2054727.013;0;2989159.266;0
14/01/2022 10:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1831792.591;0;1427379.009;0;697509.4615;0;1979083.813;0;2879115.659;0
14/01/2022 11:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1721806.509;0;1341675.079;0;655628.9925;0;1860253.944;0;2706245.295;0
14/01/2022 12:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1607655.159;0;1252725.467;0;612162.4743;0;1736923.885;0;2526828.183;0
14/01/2022 13:00;0;0;0;0;0;1505316.704;0;1172980.76;0;573194.0662;0;1626356.574;0;2365977.958;0
14/01/2022 14:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1431291.564;0;1115298.503;0;545006.7946;0;1546379.203;0;2249629.12;0
14/01/2022 15:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1412014.209;0;1100277.101;0;537666.3686;0;1525551.789;0;2219329.982;0
14/01/2022 16:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1457177.196;0;1135469.241;0;554863.5183;0;1574346.254;0;2290314.801;0
14/01/2022 17:00;0;0;0;0;0;1543897.524;0;1203043.909;0;587884.86;0;1668039.61;0;2426617.271;0
14/01/2022 18:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1590366.484;0;1239253.695;0;605579.2975;0;1718245.058;0;2499654.749;0
14/01/2022 19:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1584088.699;0;1234361.886;0;603188.844;0;1711462.487;0;2489787.654;0
14/01/2022 20:00;1890134.746;1721939.711;1225906.271;5267821.17;1392535.478;1606016.677;0;1251448.721;0;611538.5735;0;1735153.656;0;2524252.903;0
14/01/2022 21:00;3870275.908;3525876.551;2510189.031;10786490.97;2851382.169;1604318.078;0;1250125.129;0;610891.7812;0;1733318.474;0;2521583.132;0
14/01/2022 22:00;0;0;0;0;0;1607616.209;0;1252695.116;0;612147.6428;0;1736881.803;0;2526766.963;0
14/01/2022 23:00;0;0;0;0;0;1631663.621;0;1271433.466;0;621304.4094;0;1762862.825;0;2564563.425;0
15/01/2022 00:00;0;0;0;0;0;1684776.573;0;1312820.419;0;641528.7443;0;1820246.496;0;2648043.582;0
15/01/2022 01:00;0;0;0;0;0;1709813.692;0;1332329.973;0;651062.3711;0;1847296.805;0;2687395.613;0
15/01/2022 02:00;0;0;0;0;0;1710848.236;0;1333136.117;0;651456.3047;0;1848414.536;0;2689021.657;0
15/01/2022 03:00;0;0;0;0;0;1723360.325;0;1342885.852;0;656220.6544;0;1861932.7;0;2708687.503;0
15/01/2022 04:00;0;0;0;0;0;1736234.055;0;1352917.387;0;661122.7096;0;1875841.584;0;2728921.757;0
15/01/2022 05:00;0;0;0;0;0;1776818.422;0;1384541.75;0;676576.4132;0;1919689.268;0;2792710.139;0
15/01/2022 06:00;0;0;0;0;0;1846891.571;0;1439144.516;0;703258.847;0;1995396.876;0;2902847.445;0
15/01/2022 07:00;4140295.158;3771867.938;2685318.498;11539036.85;3050315.809;1887506.206;0;1470792.465;0;718724.0763;0;2039277.263;0;2966683.402;0
15/01/2022 08:00;1080076.998;983965.5491;700517.869;3010183.526;795734.5589;1912240.957;0;1490066.406;0;728142.5674;0;2066000.891;0;3005560.187;0
15/01/2022 09:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1901806.126;0;1481935.322;0;724169.1954;0;2054727.013;0;2989159.266;0
15/01/2022 10:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1831792.591;0;1427379.009;0;697509.4615;0;1979083.813;0;2879115.659;0
15/01/2022 11:00;540038.4988;491982.7746;350258.9345;1505091.763;397867.2794;1721806.509;0;1341675.079;0;655628.9925;0;1860253.944;0;2706245.295;0
15/01/2022 12:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1607655.159;0;1252725.467;0;612162.4743;0;1736923.885;0;2526828.183;0
15/01/2022 13:00;0;0;0;0;0;1505316.704;0;1172980.76;0;573194.0662;0;1626356.574;0;2365977.958;0
15/01/2022 14:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1431291.564;0;1115298.503;0;545006.7946;0;1546379.203;0;2249629.12;0
15/01/2022 15:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1412014.209;0;1100277.101;0;537666.3686;0;1525551.789;0;2219329.982;0
15/01/2022 16:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1457177.196;0;1135469.241;0;554863.5183;0;1574346.254;0;2290314.801;0
15/01/2022 17:00;0;0;0;0;0;1543897.524;0;1203043.909;0;587884.86;0;1668039.61;0;2426617.271;0
15/01/2022 18:00;810057.7482;737974.1619;525388.4017;2257637.644;596800.9192;1590366.484;0;1239253.695;0;605579.2975;0;1718245.058;0;2499654.749;0
15/01/2022 19:00;270019.2494;245991.3873;175129.4672;752545.8815;198933.6397;1584088.699;0;1234361.886;0;603188.844;0;1711462.487;0;2489787.654;0
15/01/2022 20:00;1890134.746;1721939.711;1225906.271;5267821.17;1392535.478;1606016.677;0;1251448.721;0;611538.5735;0;1735153.656;0;2524252.903;0
15/01/2022 21:00;3870275.908;3525876.551;2510189.031;10786490.97;2851382.169;1604318.078;0;1250125.129;0;610891.7812;0;1733318.474;0;2521583.132;0
15/01/2022 22:00;0;0;0;0;0;1607616.209;0;1252695.116;0;612147.6428;0;1736881.803;0;2526766.963;0
15/01/2022 23:00;0;0;0;0;0;1631663.621;0;1271433.466;0;621304.4094;0;1762862.825;0;2564563.425;0
16/01/2022 00:00;0;0;0;0;0;1684776.573;0;1312820.419;0;641528.7443;0;1820246.496;0;2648043.582;0
16/01/2022 01:00;0;0;0;0;0;1709813.692;0;1332329.973;0;651062.3711;0;1847296.805;0;2687395.613;0
16/01/2022 02:00;0;0;0;0;0;1710848.236;0;1333136.117;0;651456.3047;0;1848414.536;0;2689021.657;0
